1660576440000,24075.0,24079.0,24075.0,24079.0,2.4077
1660576455000,24079.0,24080.0,24078.0,24080.0,28.8944
1660576470000,24080.0,24084.0,24080.0,24084.0,2.4084
1660576485000,24084.0,24084.0,24084.0,24084.0,36.126
1660576500000,24084.0,24084.0,24084.0,24084.0,21.6756
1660576515000,24084.0,24089.0,24084.0,24089.0,43.352
1660576530000,24089.0,24094.0,24083.0,24083.0,43.3588
1660576545000,24083.0,24083.0,24074.0,24080.0,139.675
1660576560000,24080.0,24084.0,24080.0,24084.0,96.3243
1660576575000,24084.0,24084.0,24083.0,24083.0,33.7175
1660576590000,24083.0,24087.0,24083.0,24087.0,2.4087
1660576605000,24087.0,24092.0,24087.0,24092.0,31.3136
1660576620000,24092.0,24092.0,24092.0,24092.0,4.8184
1660576635000,24092.0,24092.0,24081.0,24081.0,81.9096
1660576650000,24081.0,24081.0,24081.0,24081.0,4.8162
1660576665000,24081.0,24081.0,24077.0,24077.0,33.713
1660576680000,24077.0,24080.0,24077.0,24080.0,4.8154
1660576695000,24080.0,24081.0,24079.0,24081.0,522.5563
1660576710000,24081.0,24089.0,24081.0,24089.0,2.4089
1660576725000,24089.0,24093.0,24089.0,24093.0,1033.5411
1660576740000,24093.0,24094.0,24093.0,24094.0,2.4094
1660576755000,24094.0,24094.0,24086.0,24086.0,168.6156
1660576770000,24086.0,24093.0,24086.0,24091.0,2.4087
1660576785000,24091.0,24093.0,24091.0,24093.0,26.5017
1660576800000,24093.0,24096.0,24093.0,24093.0,7.2282
1660576815000,24093.0,24096.0,24084.0,24086.0,18024.629
1660576830000,24086.0,24100.0,24081.0,24100.0,31.3105
1660576845000,24100.0,24117.0,24100.0,24117.0,1156.992
1660576860000,24117.0,24127.0,24115.0,24125.0,1309.8306
1660576875000,24125.0,24131.0,24125.0,24130.0,2.4131
1660576890000,24130.0,24140.0,24130.0,24135.0,43.434
1660576905000,24135.0,24140.0,24134.0,24134.0,9.654
1660576920000,24134.0,24135.0,24125.0,24129.0,48.2694
1660576935000,24129.0,24140.0,24129.0,24140.0,0.0
1660576950000,24140.0,24140.0,24133.0,24133.0,28.9679
1660576965000,24133.0,24135.0,24133.0,24135.0,0.0
1660576980000,24135.0,24143.0,24134.0,24143.0,41.0295
1660576995000,24143.0,24152.0,24143.0,24148.0,12.0745
1660577010000,24148.0,24150.0,24141.0,24141.0,70.0209
1660577025000,24141.0,24144.0,24141.0,24141.0,2.4144
1660577040000,24141.0,24142.0,24137.0,24138.0,50.6976
1660577055000,24138.0,24140.0,24138.0,24140.0,499.6566
1660577070000,24140.0,24142.0,24139.0,24141.0,1791.3328
1660577085000,24141.0,24145.0,24141.0,24145.0,0.0
1660577100000,24145.0,24147.0,24140.0,24140.0,24.1443
1660577115000,24140.0,24140.0,24140.0,24140.0,0.0
1660577130000,24140.0,24140.0,24140.0,24140.0,28.968
1660577145000,24140.0,24140.0,24140.0,24140.0,0.0
1660577160000,24140.0,24141.0,24137.0,24139.0,72.4194
1660577175000,24139.0,24140.0,24139.0,24140.0,2.414
1660577190000,24140.0,24147.0,24137.0,24137.0,2795.6418
1660577205000,24140.0,24147.0,24138.0,24145.0,0.0
1660577220000,24145.0,24146.0,24135.0,24135.0,31.3892
1660577235000,24135.0,24135.0,24128.0,24128.0,123.0834
1660577250000,24128.0,24129.0,24128.0,24128.0,0.0
1660577265000,24128.0,24129.0,24128.0,24129.0,45.8432
1660577280000,24129.0,24130.0,24120.0,24120.0,839.7122
1660577295000,24120.0,24126.0,24120.0,24123.0,1138.7007
1660577310000,24123.0,24123.0,24113.0,24113.0,45.83
1660577325000,24113.0,24123.0,24113.0,24123.0,0.0
1660577340000,24123.0,24129.0,24123.0,24128.0,28.9491
1660577355000,24128.0,24133.0,24128.0,24131.0,0.0
1660577370000,24131.0,24140.0,24131.0,24140.0,50.6772
1660577385000,24140.0,24141.0,24140.0,24141.0,0.0
1660577400000,24141.0,24148.0,24141.0,24144.0,125.5429
1660577415000,24144.0,24144.0,24144.0,24144.0,0.0
1660577430000,24144.0,24144.0,24132.0,24139.0,41.0448
1660577445000,24139.0,24141.0,24139.0,24139.0,0.0
1660577460000,24139.0,24144.0,24138.0,24144.0,67.5903
1660577475000,24144.0,24150.0,24144.0,24150.0,1902.7839
1660577490000,24150.0,24153.0,24150.0,24153.0,3665.97
1660577505000,24153.0,24153.0,24150.0,24150.0,301.8858
1660577520000,24150.0,24166.0,24150.0,24166.0,2516.4343
1660577535000,24166.0,24167.0,24166.0,24167.0,21.7496
1660577550000,24167.0,24170.0,24167.0,24168.0,4836.2169
1660577565000,24168.0,24170.0,24159.0,24160.0,48.3392
1660577580000,24160.0,24160.0,24160.0,24160.0,4841.664
1660577595000,24160.0,24160.0,24153.0,24154.0,48.32
1660577610000,24154.0,24156.0,24154.0,24156.0,21.7386
1660577625000,24156.0,24156.0,24156.0,24156.0,28.9872
1660577640000,24156.0,24160.0,24156.0,24157.0,2.4157
1660577655000,24157.0,24160.0,24157.0,24160.0,41.0669
1660577670000,24160.0,24160.0,24150.0,24150.0,28.992
1660577685000,24150.0,24155.0,24150.0,24155.0,0.0
1660577700000,24155.0,24162.0,24154.0,24161.0,50.7249
1660577715000,24161.0,24165.0,24161.0,24165.0,0.0
1660577730000,24165.0,24165.0,24162.0,24162.0,86.9937
1660577745000,24162.0,24163.0,24162.0,24163.0,0.0
1660577760000,24163.0,24163.0,24159.0,24159.0,664.4191
1660577775000,24159.0,24165.0,24159.0,24165.0,2.4163
